#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 24 16:34:08 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       pipeline_map.ncd
#OUTPUT FILE:      pipeline_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,result<0>,IOB,IO_L52N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P6,result<1>,IOB,IO_L52P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P7,result<2>,IOB,IO_L51N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P8,result<3>,IOB,IO_L51P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P9,result<4>,IOB,IO_L50N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P10,result<5>,IOB,IO_L50P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P11,result<6>,IOB,IO_L49N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P12,result<7>,IOB,IO_L49P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,result<8>,IOB,IO_L44N_GCLK20_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P15,result<9>,IOB,IO_L44P_GCLK21_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P16,result<10>,IOB,IO_L43N_GCLK22_IRDY2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P17,result<11>,IOB,IO_L43P_GCLK23_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,2.50,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,result<12>,IOB,IO_L42N_GCLK24_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P22,result<13>,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P23,result<14>,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P24,result<15>,IOB,IO_L41P_GCLK27_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,,IOBS,IO_L37N_3,UNUSED,,3,,,,,,,,,
P27,,IOBM,IO_L37P_3,UNUSED,,3,,,,,,,,,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,IOBS,IO_L36N_3,UNUSED,,3,,,,,,,,,
P30,,IOBM,IO_L36P_3,UNUSED,,3,,,,,,,,,
P31,,,VCCO_3,,,3,,,,,2.50,,,,
P32,,IOBS,IO_L2N_3,UNUSED,,3,,,,,,,,,
P33,,IOBM,IO_L2P_3,UNUSED,,3,,,,,,,,,
P34,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
P35,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P41,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
P42,,,VCCO_2,,,2,,,,,any******,,,,
P43,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
P44,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,reset,IOB,IO_L49P_D3_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
